Temp,X0,A1,X1,A2,X2,A3,X3,A4,X4,A5,X5,A6
1000,0,2.87E-12,0,1.82E-11,0,6.42E-11,0,3.93E-11,0,7.20E-11,0,1.12E-10
1154.8,0,2.74E-12,0,1.86E-11,0,6.77E-11,0,3.58E-11,0,6.58E-11,0,1.03E-10
1333.5,0,2.62E-12,0,1.87E-11,0,7.02E-11,0,3.26E-11,0,6.02E-11,0,9.45E-11
1539.9,0,2.52E-12,0,1.85E-11,0,7.13E-11,0,2.97E-11,0,5.50E-11,0,8.66E-11
1778.3,2.56E-41,2.41E-12,0,1.81E-11,0,7.10E-11,0,2.70E-11,0,5.03E-11,0,7.93E-11
2053.5,5.60E-37,2.29E-12,0,1.73E-11,0,6.93E-11,0,2.45E-11,0,4.59E-11,0,7.26E-11
2371.4,3.25E-33,2.16E-12,0,1.63E-11,0,6.65E-11,0,2.22E-11,0,4.19E-11,0,6.65E-11
2738.4,5.99E-30,2.03E-12,0,1.52E-11,0,6.29E-11,0,2.02E-11,0,3.83E-11,0,6.09E-11
3162.3,4.09E-27,1.88E-12,0,1.40E-11,0,5.87E-11,0,1.83E-11,0,3.49E-11,0,5.57E-11
3651.7,1.18E-24,1.73E-12,1.41E-42,1.27E-11,0,5.41E-11,0,1.66E-11,0,3.19E-11,0,5.10E-11
4217,1.62E-22,1.58E-12,4.81E-38,1.15E-11,0,4.94E-11,0,1.50E-11,0,2.90E-11,0,4.66E-11
4869.7,1.16E-20,1.44E-12,4.07E-34,1.04E-11,0,4.47E-11,0,1.36E-11,0,2.65E-11,0,4.27E-11
5623.4,4.78E-19,1.30E-12,1.03E-30,9.47E-12,0,4.02E-11,0,1.23E-11,0,2.41E-11,0,3.90E-11
6493.8,1.21E-17,1.17E-12,9.23E-28,8.63E-12,0,3.58E-11,0,1.11E-11,0,2.20E-11,0,3.57E-11
7498.9,2.02E-16,1.05E-12,3.34E-25,7.93E-12,1.30E-41,3.17E-11,0,1.01E-11,0,2.00E-11,0,3.26E-11
8659.6,2.34E-15,9.38E-13,5.52E-23,7.33E-12,2.82E-37,2.79E-11,0,9.09E-12,0,1.82E-11,0,2.98E-11
10000,1.98E-14,8.44E-13,4.63E-21,6.81E-12,1.61E-33,2.47E-11,1.05E-42,8.20E-12,0,1.66E-11,0,2.72E-11
11548,1.27E-13,7.75E-13,2.16E-19,6.35E-12,2.92E-30,2.22E-11,2.54E-38,7.40E-12,0,1.51E-11,0,2.48E-11
13335,6.49E-13,7.60E-13,6.06E-18,5.96E-12,1.94E-27,2.08E-11,1.60E-34,6.67E-12,0,1.37E-11,0,2.27E-11
15399,2.69E-12,8.51E-13,1.10E-16,5.69E-12,5.45E-25,2.07E-11,3.14E-31,6.01E-12,0,1.25E-11,0,2.07E-11
17783,9.36E-12,1.13E-12,1.35E-15,5.68E-12,7.24E-23,2.22E-11,2.26E-28,5.42E-12,0,1.13E-11,0,1.89E-11
20535,2.79E-11,1.67E-12,1.20E-14,6.14E-12,5.03E-21,2.53E-11,6.77E-26,4.87E-12,0,1.03E-11,0,1.72E-11
23714,7.28E-11,2.56E-12,8.02E-14,7.29E-12,1.99E-19,2.96E-11,9.53E-24,4.39E-12,0,9.35E-12,0,1.57E-11
27384,1.69E-10,3.81E-12,4.18E-13,9.33E-12,4.85E-18,3.48E-11,6.97E-22,3.94E-12,0,8.49E-12,0,1.43E-11
31623,3.56E-10,5.36E-12,1.76E-12,1.23E-11,7.77E-17,4.00E-11,2.90E-20,3.54E-12,0,7.70E-12,0,1.30E-11
36517,6.87E-10,7.12E-12,6.14E-12,1.60E-11,8.64E-16,4.48E-11,7.36E-19,3.18E-12,0,6.99E-12,0,1.19E-11
42170,1.23E-09,8.93E-12,1.83E-11,2.02E-11,7.00E-15,4.84E-11,1.22E-17,2.86E-12,0,6.34E-12,0,1.08E-11
48697,2.06E-09,1.06E-11,4.74E-11,2.44E-11,4.32E-14,5.07E-11,1.41E-16,2.56E-12,0,5.75E-12,0,9.85E-12
56234,3.26E-09,1.20E-11,1.09E-10,2.82E-11,2.10E-13,5.15E-11,1.18E-15,2.30E-12,0,5.21E-12,0,8.96E-12
64938,4.90E-09,1.31E-11,2.25E-10,3.12E-11,8.35E-13,5.09E-11,7.49E-15,2.06E-12,1.60E-41,4.71E-12,0,8.15E-12
74989,7.06E-09,1.37E-11,4.25E-10,3.32E-11,2.77E-12,4.90E-11,3.74E-14,1.84E-12,2.07E-37,4.27E-12,3.66E-44,7.41E-12
86596,9.79E-09,1.39E-11,7.42E-10,3.41E-11,7.90E-12,4.62E-11,1.52E-13,1.65E-12,7.60E-34,3.86E-12,1.00E-39,6.73E-12
100000,1.31E-08,1.37E-11,1.21E-09,3.40E-11,1.97E-11,4.27E-11,5.17E-13,1.47E-12,9.39E-31,3.49E-12,7.04E-36,6.11E-12
115480,1.71E-08,1.31E-11,1.86E-09,3.29E-11,4.37E-11,3.89E-11,1.51E-12,1.32E-12,4.51E-28,3.16E-12,1.52E-32,5.55E-12
133350,2.17E-08,1.24E-11,2.72E-09,3.11E-11,8.78E-11,3.48E-11,3.83E-12,1.18E-12,9.58E-26,2.85E-12,1.18E-29,5.03E-12
153990,2.69E-08,1.14E-11,3.80E-09,2.88E-11,1.62E-10,3.08E-11,8.67E-12,1.05E-12,1.00E-23,2.57E-12,3.80E-27,4.56E-12
177830,3.26E-08,1.03E-11,5.10E-09,2.62E-11,2.76E-10,2.69E-11,1.77E-11,9.35E-13,5.68E-22,2.32E-12,5.67E-25,4.14E-12
205350,3.89E-08,9.21E-12,6.61E-09,2.34E-11,4.41E-10,2.33E-11,3.32E-11,8.33E-13,1.90E-20,2.09E-12,4.36E-23,3.74E-12
237140,4.56E-08,8.12E-12,8.32E-09,2.07E-11,6.65E-10,2.00E-11,5.76E-11,7.42E-13,3.99E-19,1.89E-12,1.89E-21,3.39E-12
273840,5.25E-08,7.07E-12,1.02E-08,1.81E-11,9.55E-10,1.70E-11,9.36E-11,6.60E-13,5.65E-18,1.70E-12,4.98E-20,3.06E-12
316230,5.98E-08,6.10E-12,1.22E-08,1.56E-11,1.31E-09,1.44E-11,1.44E-10,5.90E-13,5.66E-17,1.53E-12,8.54E-19,2.77E-12
365170,6.71E-08,5.22E-12,1.43E-08,1.33E-11,1.73E-09,1.21E-11,2.09E-10,5.31E-13,4.21E-16,1.38E-12,1.01E-17,2.50E-12
421700,7.44E-08,4.43E-12,1.64E-08,1.13E-11,2.22E-09,1.02E-11,2.92E-10,4.90E-13,2.42E-15,1.24E-12,8.61E-17,2.25E-12
486970,8.15E-08,3.73E-12,1.86E-08,9.55E-12,2.75E-09,8.47E-12,3.91E-10,4.73E-13,1.11E-14,1.13E-12,5.56E-16,2.03E-12
562340,8.85E-08,3.13E-12,2.06E-08,8.02E-12,3.32E-09,7.04E-12,5.07E-10,4.88E-13,4.19E-14,1.06E-12,2.82E-15,1.83E-12
649380,9.50E-08,2.61E-12,2.27E-08,6.70E-12,3.92E-09,5.84E-12,6.38E-10,5.42E-13,1.34E-13,1.02E-12,1.16E-14,1.64E-12
749890,1.01E-07,2.17E-12,2.46E-08,5.57E-12,4.53E-09,4.84E-12,7.81E-10,6.35E-13,3.69E-13,1.03E-12,3.96E-14,1.47E-12
865960,1.07E-07,1.80E-12,2.63E-08,4.62E-12,5.13E-09,4.02E-12,9.35E-10,7.61E-13,8.98E-13,1.10E-12,1.16E-13,1.32E-12
1000000,1.12E-07,1.49E-12,2.79E-08,3.82E-12,5.72E-09,3.33E-12,1.09E-09,9.09E-13,1.96E-12,1.22E-12,2.96E-13,1.18E-12
1154800,1.16E-07,1.22E-12,2.92E-08,3.15E-12,6.28E-09,2.77E-12,1.26E-09,1.06E-12,3.87E-12,1.37E-12,6.70E-13,1.06E-12
1333500,1.19E-07,1.00E-12,3.04E-08,2.60E-12,6.79E-09,2.31E-12,1.42E-09,1.20E-12,7.05E-12,1.53E-12,1.37E-12,9.47E-13
1539900,1.22E-07,8.24E-13,3.13E-08,2.14E-12,7.26E-09,1.93E-12,1.58E-09,1.31E-12,1.20E-11,1.69E-12,2.56E-12,8.45E-13
1778300,1.24E-07,6.75E-13,3.21E-08,1.76E-12,7.67E-09,1.62E-12,1.73E-09,1.38E-12,1.90E-11,1.81E-12,4.42E-12,7.53E-13
2053500,1.26E-07,5.52E-13,3.26E-08,1.44E-12,8.02E-09,1.36E-12,1.88E-09,1.41E-12,2.86E-11,1.90E-12,7.14E-12,6.69E-13
2371400,1.27E-07,4.52E-13,3.29E-08,1.18E-12,8.31E-09,1.14E-12,2.01E-09,1.40E-12,4.10E-11,1.93E-12,1.09E-11,5.95E-13
2738400,1.27E-07,3.69E-13,3.30E-08,9.67E-13,8.54E-09,9.52E-13,2.13E-09,1.35E-12,5.64E-11,1.92E-12,1.57E-11,5.27E-13
3162300,1.26E-07,3.02E-13,3.30E-08,7.92E-13,8.71E-09,7.97E-13,2.24E-09,1.27E-12,7.47E-11,1.85E-12,2.17E-11,4.67E-13
3651700,1.26E-07,2.46E-13,3.28E-08,6.47E-13,8.81E-09,6.66E-13,2.33E-09,1.18E-12,9.56E-11,1.76E-12,2.87E-11,4.12E-13
4217000,1.24E-07,2.01E-13,3.24E-08,5.29E-13,8.87E-09,5.55E-13,2.40E-09,1.07E-12,1.19E-10,1.63E-12,3.68E-11,3.64E-13
4869700,1.23E-07,1.64E-13,3.20E-08,4.32E-13,8.88E-09,4.62E-13,2.46E-09,9.59E-13,1.44E-10,1.49E-12,4.57E-11,3.20E-13
5623400,1.21E-07,1.35E-13,3.14E-08,3.53E-13,8.84E-09,3.83E-13,2.51E-09,8.46E-13,1.71E-10,1.34E-12,5.51E-11,2.81E-13
6493800,1.19E-07,1.10E-13,3.08E-08,2.88E-13,8.77E-09,3.17E-13,2.55E-09,7.38E-13,1.98E-10,1.18E-12,6.49E-11,2.47E-13
7498900,1.16E-07,9.02E-14,3.01E-08,2.34E-13,8.67E-09,2.62E-13,2.57E-09,6.38E-13,2.26E-10,1.04E-12,7.48E-11,2.16E-13
8659600,1.14E-07,7.40E-14,2.94E-08,1.91E-13,8.54E-09,2.16E-13,2.58E-09,5.46E-13,2.53E-10,8.99E-13,8.46E-11,1.89E-13
10000000,0.000000111,6.08E-14,2.86E-08,1.56E-13,8.38E-09,1.77E-13,2.58E-09,4.63E-13,2.79E-10,7.72E-13,9.39E-11,1.64E-13
11548000,1.08E-07,5.01E-14,2.78E-08,1.27E-13,8.21E-09,1.46E-13,2.57E-09,3.91E-13,3.04E-10,6.59E-13,1.03E-10,1.43E-13
13335000,1.05E-07,4.13E-14,2.69E-08,1.03E-13,8.03E-09,1.19E-13,2.56E-09,3.28E-13,3.27E-10,5.58E-13,1.11E-10,1.24E-13
15399000,1.02E-07,3.42E-14,2.61E-08,8.37E-14,7.83E-09,9.75E-14,2.53E-09,2.73E-13,3.49E-10,4.70E-13,1.18E-10,1.07E-13
17783000,9.94E-08,2.83E-14,2.53E-08,6.81E-14,7.63E-09,7.96E-14,2.51E-09,2.27E-13,3.68E-10,3.94E-13,1.24E-10,9.27E-14
20535000,9.65E-08,2.35E-14,2.45E-08,5.53E-14,7.43E-09,6.49E-14,2.48E-09,1.88E-13,3.85E-10,3.29E-13,1.29E-10,7.99E-14
23714000,9.36E-08,1.96E-14,2.36E-08,4.49E-14,7.22E-09,5.29E-14,2.44E-09,1.55E-13,4.00E-10,2.73E-13,1.33E-10,6.87E-14
27384000,9.07E-08,1.64E-14,2.28E-08,3.65E-14,7.01E-09,4.30E-14,2.40E-09,1.28E-13,4.13E-10,2.26E-13,1.37E-10,5.89E-14
31623000,8.78E-08,1.37E-14,2.21E-08,2.96E-14,6.80E-09,3.50E-14,2.36E-09,1.05E-13,4.24E-10,1.87E-13,1.39E-10,5.04E-14
36517000,8.50E-08,1.16E-14,2.13E-08,2.40E-14,6.60E-09,2.84E-14,2.32E-09,8.58E-14,4.33E-10,1.54E-13,1.41E-10,4.31E-14
42170000,8.22E-08,9.77E-15,2.06E-08,1.95E-14,6.39E-09,2.30E-14,2.28E-09,7.01E-14,4.41E-10,1.27E-13,1.41E-10,3.67E-14
48697000,7.95E-08,8.29E-15,1.98E-08,1.58E-14,6.20E-09,1.87E-14,2.24E-09,5.72E-14,4.47E-10,1.04E-13,1.41E-10,3.12E-14
56234000,7.69E-08,7.06E-15,1.91E-08,1.28E-14,6.00E-09,1.51E-14,2.19E-09,4.66E-14,4.51E-10,8.53E-14,1.41E-10,2.65E-14
64938000,7.43E-08,6.03E-15,1.84E-08,1.04E-14,5.81E-09,1.22E-14,2.15E-09,3.79E-14,4.54E-10,6.99E-14,1.40E-10,2.24E-14
74989000,7.18E-08,5.18E-15,1.78E-08,8.43E-15,5.63E-09,9.91E-15,2.11E-09,3.08E-14,4.56E-10,5.71E-14,1.38E-10,1.89E-14
86596000,6.94E-08,4.47E-15,1.72E-08,6.84E-15,5.45E-09,8.02E-15,2.06E-09,2.50E-14,4.58E-10,4.66E-14,1.37E-10,1.59E-14
100000000,6.70E-08,3.87E-15,1.65E-08,5.54E-15,5.27E-09,6.49E-15,2.02E-09,2.03E-14,4.58E-10,3.81E-14,1.34E-10,1.34E-14